ticket_id,title,description,category,priority,status,requester,assigned_to,created_at,first_response_at,resolved_at,resolution_time_hours,sla_met,department,satisfaction_rating
TKT001,Cannot access email,Outlook not connecting to server,Email,High,Resolved,emma.wilson,tech_support_01,2024-10-01 08:30:00,2024-10-01 08:45:00,2024-10-01 10:00:00,1.5,Yes,Sales,5
TKT002,Laptop running slow,Computer takes 10 minutes to boot,Hardware,Medium,Resolved,james.brown,tech_support_02,2024-10-01 09:15:00,2024-10-01 10:00:00,2024-10-02 14:30:00,29.25,No,Marketing,3
TKT003,VPN connection failed,Cannot connect to corporate VPN from home,Network,High,Resolved,lisa.davis,tech_support_01,2024-10-02 07:00:00,2024-10-02 07:15:00,2024-10-02 08:30:00,1.5,Yes,Finance,5
TKT004,Password reset request,Forgot password for SAP system,Account,Low,Resolved,michael.garcia,tech_support_03,2024-10-02 10:30:00,2024-10-02 11:00:00,2024-10-02 11:15:00,0.75,Yes,HR,4
TKT005,Printer not working,Shared printer offline on 3rd floor,Hardware,Medium,Waiting for User,robert.martinez,tech_support_02,2024-10-03 11:00:00,2024-10-03 11:30:00,,,,Operations,
TKT006,Software installation,Need Adobe Creative Suite installed,Software,Low,Resolved,jennifer.anderson,tech_support_01,2024-10-03 14:00:00,2024-10-04 09:00:00,2024-10-04 16:00:00,26.0,No,Marketing,4
TKT007,Monitor flickering,External monitor has display issues,Hardware,Medium,Resolved,david.thomas,tech_support_03,2024-10-04 08:45:00,2024-10-04 09:30:00,2024-10-04 11:00:00,2.25,Yes,Engineering,5
TKT008,Cannot print to PDF,PDF printer driver error,Software,Low,Waiting for User,susan.jackson,tech_support_02,2024-10-04 13:30:00,2024-10-04 14:00:00,,,,Finance,
TKT009,Network drive access denied,Cannot access department shared drive,Network,High,Resolved,william.white,tech_support_01,2024-10-05 09:00:00,2024-10-05 09:10:00,2024-10-05 10:30:00,1.5,Yes,Legal,5
TKT010,New employee setup,Setup laptop and accounts for new hire,Account,Medium,Resolved,hr_dept,tech_support_03,2024-10-05 10:00:00,2024-10-05 14:00:00,2024-10-07 16:00:00,54.0,No,HR,3
